,well_code,date_sampling,quarter,type_analyzing,date_analyzing,laboratory,k,ca2,fe3,fe2,al3,cl,so4,hco3,co3,no2,hardness_general,no3,hardness_temporal,ph,co2_free,co2_infiltrate,sio2,color,smell,tatse,is_drinkable,wqi,wqc
0,B1,2016-03-29,I,0,2016-04-03,LAS XD1207,0,0,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,Trong,Không,Mặn,0,55.4698603823574,3
1,B1,2017-04-08,I,0,2017-04-16,LAS XD1207,0,0,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,Trong,Không,Mặn,0,55.4698603823574,3
2,B1,2017-09-15,III,0,2017-09-20,LAS XD1207,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
3,B1,2019-04-24,I,0,2019-04-29,Liên Ðoàn 2,1,1,1,1,0.0,1,1,1,1,0,1,1,1,1,1,1,1,Trong,Không,Không,0,90.60278769028885,0
4,B1,2019-09-10,III,0,2019-09-14,Liên Ðoàn 2,0,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,Trong,Không,Lợ,0,47.196335893807465,1
5,B1,2020-04-17,I,0,2020-04-19,Liên Ðoàn 2,0,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,Trong,Kh«ng,MÆn,0,55.549413502439634,3
6,B1,2020-08-28,III,0,2020-08-29,Liên Ðoàn 2,0,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,Trong,Không,Lợ,0,55.549413502439634,3
7,CL1,2016-03-21,I,0,2016-03-25,LAS XD1207,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
8,CL1,2016-08-16,III,0,2016-08-21,LAS XD1207,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
9,CL1,2017-04-17,I,0,2017-04-24,LAS XD1207,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
10,CL1,2017-08-26,III,0,2017-08-31,LAS XD1207,1,1,1,1,0.0,1,1,1,1,0,1,1,1,1,1,1,1,Trong,Không,Không,0,91.64692239136788,0
11,CL1,2019-03-12,I,0,2019-03-16,Liên Ðoàn 2,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
12,CL1,2019-08-12,III,0,2019-08-16,Liên Ðoàn 2,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Kh«ng,Kh«ng,1,100.0,0
13,CL1,2020-03-20,I,0,2020-03-23,Liên Ðoàn 2,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
14,CL1,2020-08-20,III,0,2020-08-17,Liên Ðoàn 2,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
15,M1,2016-03-21,I,0,2016-03-25,LAS XD1207,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
16,M1,2016-08-16,III,0,2016-08-21,LAS XD1207,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
17,M1,2017-04-17,I,0,2017-04-24,LAS XD1207,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
18,M1,2017-08-26,III,0,2017-08-31,LAS XD1207,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
19,M1,2019-08-12,III,0,2019-08-16,Liên Ðoàn 2,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
20,M1,2020-03-20,I,0,2020-03-23,Liên Ðoàn 2,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
21,M1,2020-08-20,III,0,2020-08-17,Liên Ðoàn 2,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,Trong,Không,Không,1,100.0,0
