,well_code,date_sampling,quarter,type_analyzing,date_analyzing,laboratory,k,ca2,fe3,fe2,al3,cl,so4,hco3,co3,no2,hardness_general,no3,hardness_temporal,ph,co2_free,co2_infiltrate,sio2,color,smell,tatse,is_drinkable,wqi,wqc
0,0,24320160.0,0,0,24327360.0,0,0,0,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,5,0,55.4698603823574,3
1,0,24860160.0,0,0,24871680.0,0,0,0,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,5,0,55.4698603823574,3
2,0,25090560.0,1,0,25097760.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,100.0,0
3,0,25934400.0,0,0,25941600.0,1,1,1,1,1,0.0,1,1,1,1,0,1,1,1,1,1,1,1,6,1,1,0,90.60278769028885,0
4,0,26134560.0,1,0,26140320.0,1,0,1,1,1,0.0,0,1,1,1,0,0,1,1,1,1,1,1,6,1,3,0,47.196335893807465,1
5,0,26451360.0,0,0,26454240.0,1,0,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,0,4,0,55.549413502439634,3
6,0,26642880.0,1,0,26644320.0,1,0,1,1,1,0.0,0,1,1,1,1,0,1,1,1,1,1,1,6,1,3,0,55.549413502439634,3
7,1,24308640.0,0,0,24314400.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,100.0,0
8,1,24521760.0,1,0,24528960.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,100.0,0
9,1,24873120.0,0,0,24883200.0,0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,100.0,0
10,1,25061760.0,1,0,25068960.0,0,1,1,1,1,0.0,1,1,1,1,0,1,1,1,1,1,1,1,6,1,1,0,91.64692239136788,0
11,1,25872480.0,0,0,25878240.0,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,100.0,0
12,1,26092800.0,1,0,26098560.0,1,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,6,0,0,1,100.0,0
