,Feature Name,Feature Importance Score
0,wqi,0.2245552384830516
1,cl,0.1705446055546982
2,hardness_general,0.16316268158351832
3,well_code,0.16112314624238633
4,k,0.13805063430657394
5,tatse,0.10937764190303279
6,hco3,0.07122402218905743
7,so4,0.04397674754293113
8,co2_infiltrate,0.04285768373902443
9,ca2,0.041502685341725076
10,co2_free,0.034894334490000345
11,ph,0.016819464054305566
12,sio2,0.016268164539813057
13,hardness_temporal,0.012693497107272078
14,fe2,0.012169365326223147
15,no3,0.009951611125116111
16,fe3,0.008095582937149404
17,date_sampling,0.007426887897352241
18,quarter,0.0035572259114786675
19,color,0.0030600181577884467
20,date_analyzing,0.002825850289266185
21,no2,0.002230642564683638
22,smell,0.001111221576629351
23,type_analyzing,0.0004071023060316925
24,laboratory,0.0
25,al3,0.0
26,co3,0.0
